"","rate","total","height","log_height"
"1",0,0,0.476989793742656,0.74026018508863
"2",0,5,0.0804283731674188,2.52038826495953
"3",0,10,0.030365019470548,3.49446400841601
"4",0,15,0.016288085578368,4.11732138455317
"5",0,20,0.0100998585994463,4.59523385528775
"6",0,25,0.0068069863442278,4.98980579065499
"7",0,30,0.00482868746593235,5.33318059443112
"8",0,35,0.00359539090772062,5.62810255721964
"9",0,40,0.00279634478090936,5.87944215001355
"10",0,45,0.00222149600856932,6.10957443231767
"11",0,50,0.00180962309089197,6.31463669246501
"12",0,55,0.00149507124704817,6.50558141638663
"13",0,60,0.00125335187711452,6.6819338147878
"14",0,65,0.00106398744494815,6.84573168799306
"15",0,70,0.000909667043706662,7.00243191144264
"16",0,75,0.000788701804429819,7.14512224970975
"17",0,80,0.00068356971165518,7.2881819148209
"18",0,85,0.000598492937783334,7.42109583289663
"19",0,90,0.000525238246633134,7.55165859519941
"20",0,95,0.000464650072684698,7.67422596753202
"21",0,100,0.000415672872837878,7.78561197041935
"22",0,105,0.000375984452272352,7.88596276576882
"23",0,110,0.000334184945506532,8.00381598917747
"24",0,115,0.000299774240441741,8.11248089846317
"25",0,120,0.000267474621577243,8.22648586873734
"26",0,125,0.000241508261313628,8.32860687711874
"27",0,130,0.0002197640734506,8.42295598044351
"28",0,135,0.000197808776967543,8.52820976682006
"29",0,140,0.000181131195985221,8.61628894957052
"30",0,145,0.000163398071902752,8.71932117546875
"31",0,150,0.0001500982288409,8.80422061925524
"32",0,155,0.000136587277159018,8.89854675455758
"33",0,160,0.00012560962891749,8.98233164351285
"34",0,165,0.000112098677235609,9.09613102781654
"35",0,170,0.000102809897954315,9.18262892597589
"36",0,175,9.20433583328161e-05,9.29325080570944
"37",0,180,8.2332361811464e-05,9.40474630993479
"38",0,185,7.59991032105821e-05,9.48478901760832
"39",0,190,7.09324963298766e-05,9.55378188909527
"40",0,195,6.628810668923e-05,9.62150006315023
"41",0,200,6.22770429086715e-05,9.68391769271866
"42",0,205,5.88993049882011e-05,9.73968126723711
"43",0,210,5.42549153475545e-05,9.82181696416326
"44",0,215,5.23549377672899e-05,9.8574643028935
"45",0,220,4.79216567466726e-05,9.94594303157708
"46",0,225,4.60216791664081e-05,9.98639798626939
"47",0,230,4.26439412459377e-05,10.0626253516573
"48",0,235,4.1166180905732e-05,10.0978934904947
"49",0,240,3.88439860854086e-05,10.1559572914495
"50",0,245,3.75773343652323e-05,10.1891094987664
"51",0,250,3.58884654049971e-05,10.2350946120082
"52",0.05,0,0.476989793742656,0.74026018508863
"53",0.05,5,0.0804283731674188,2.52038826495953
"54",0.05,10,0.030365019470548,3.49446400841601
"55",0.05,15,0.016288085578368,4.11732138455317
"56",0.05,20,0.0100998585994463,4.59523385528775
"57",0.05,25,0.0068069863442278,4.98980579065499
"58",0.05,30,0.00482868746593235,5.33318059443112
"59",0.05,35,0.00359539090772062,5.62810255721964
"60",0.05,40,0.00279634478090936,5.87944215001355
"61",0.05,45,0.00222149600856932,6.10957443231767
"62",0.05,50,0.00180962309089197,6.31463669246501
"63",0.05,55,0.00149507124704817,6.50558141638663
"64",0.05,60,0.00125335187711452,6.6819338147878
"65",0.05,65,0.00106398744494815,6.84573168799306
"66",0.05,70,0.000909667043706662,7.00243191144264
"67",0.05,75,0.000788701804429819,7.14512224970975
"68",0.05,80,0.00068356971165518,7.2881819148209
"69",0.05,85,0.000598492937783334,7.42109583289663
"70",0.05,90,0.000525238246633134,7.55165859519941
"71",0.05,95,0.000464650072684698,7.67422596753202
"72",0.05,100,0.000415672872837878,7.78561197041935
"73",0.05,105,0.000375984452272352,7.88596276576882
"74",0.05,110,0.000334184945506532,8.00381598917747
"75",0.05,115,0.000299774240441741,8.11248089846317
"76",0.05,120,0.000267474621577243,8.22648586873734
"77",0.05,125,0.000241508261313628,8.32860687711874
"78",0.05,130,0.0002197640734506,8.42295598044351
"79",0.05,135,0.000197808776967543,8.52820976682006
"80",0.05,140,0.000181131195985221,8.61628894957052
"81",0.05,145,0.000163398071902752,8.71932117546875
"82",0.05,150,0.0001500982288409,8.80422061925524
"83",0.05,155,0.000136587277159018,8.89854675455758
"84",0.05,160,0.00012560962891749,8.98233164351285
"85",0.05,165,0.000112098677235609,9.09613102781654
"86",0.05,170,0.000102809897954315,9.18262892597589
"87",0.05,175,9.20433583328161e-05,9.29325080570944
"88",0.05,180,8.2332361811464e-05,9.40474630993479
"89",0.05,185,7.59991032105821e-05,9.48478901760832
"90",0.05,190,7.09324963298766e-05,9.55378188909527
"91",0.05,195,6.628810668923e-05,9.62150006315023
"92",0.05,200,6.22770429086715e-05,9.68391769271866
"93",0.05,205,5.88993049882011e-05,9.73968126723711
"94",0.05,210,5.42549153475545e-05,9.82181696416326
"95",0.05,215,5.23549377672899e-05,9.8574643028935
"96",0.05,220,4.79216567466726e-05,9.94594303157708
"97",0.05,225,4.60216791664081e-05,9.98639798626939
"98",0.05,230,4.26439412459377e-05,10.0626253516573
"99",0.05,235,4.1166180905732e-05,10.0978934904947
"100",0.05,240,3.88439860854086e-05,10.1559572914495
"101",0.05,245,3.75773343652323e-05,10.1891094987664
"102",0.05,250,3.58884654049971e-05,10.2350946120082
"103",0.1,0,0.476989793742656,0.74026018508863
"104",0.1,5,0.0804283731674188,2.52038826495953
"105",0.1,10,0.030365019470548,3.49446400841601
"106",0.1,15,0.016288085578368,4.11732138455317
"107",0.1,20,0.0100998585994463,4.59523385528775
"108",0.1,25,0.0068069863442278,4.98980579065499
"109",0.1,30,0.00482868746593235,5.33318059443112
"110",0.1,35,0.00359539090772062,5.62810255721964
"111",0.1,40,0.00279634478090936,5.87944215001355
"112",0.1,45,0.00222149600856932,6.10957443231767
"113",0.1,50,0.00180962309089197,6.31463669246501
"114",0.1,55,0.00149507124704817,6.50558141638663
"115",0.1,60,0.00125335187711452,6.6819338147878
"116",0.1,65,0.00106398744494815,6.84573168799306
"117",0.1,70,0.000909667043706662,7.00243191144264
"118",0.1,75,0.000788701804429819,7.14512224970975
"119",0.1,80,0.00068356971165518,7.2881819148209
"120",0.1,85,0.000598492937783334,7.42109583289663
"121",0.1,90,0.000525238246633134,7.55165859519941
"122",0.1,95,0.000464650072684698,7.67422596753202
"123",0.1,100,0.000415672872837878,7.78561197041935
"124",0.1,105,0.000375984452272352,7.88596276576882
"125",0.1,110,0.000334184945506532,8.00381598917747
"126",0.1,115,0.000299774240441741,8.11248089846317
"127",0.1,120,0.000267474621577243,8.22648586873734
"128",0.1,125,0.000241508261313628,8.32860687711874
"129",0.1,130,0.0002197640734506,8.42295598044351
"130",0.1,135,0.000197808776967543,8.52820976682006
"131",0.1,140,0.000181131195985221,8.61628894957052
"132",0.1,145,0.000163398071902752,8.71932117546875
"133",0.1,150,0.0001500982288409,8.80422061925524
"134",0.1,155,0.000136587277159018,8.89854675455758
"135",0.1,160,0.00012560962891749,8.98233164351285
"136",0.1,165,0.000112098677235609,9.09613102781654
"137",0.1,170,0.000102809897954315,9.18262892597589
"138",0.1,175,9.20433583328161e-05,9.29325080570944
"139",0.1,180,8.2332361811464e-05,9.40474630993479
"140",0.1,185,7.59991032105821e-05,9.48478901760832
"141",0.1,190,7.09324963298766e-05,9.55378188909527
"142",0.1,195,6.628810668923e-05,9.62150006315023
"143",0.1,200,6.22770429086715e-05,9.68391769271866
"144",0.1,205,5.88993049882011e-05,9.73968126723711
"145",0.1,210,5.42549153475545e-05,9.82181696416326
"146",0.1,215,5.23549377672899e-05,9.8574643028935
"147",0.1,220,4.79216567466726e-05,9.94594303157708
"148",0.1,225,4.60216791664081e-05,9.98639798626939
"149",0.1,230,4.26439412459377e-05,10.0626253516573
"150",0.1,235,4.1166180905732e-05,10.0978934904947
"151",0.1,240,3.88439860854086e-05,10.1559572914495
"152",0.1,245,3.75773343652323e-05,10.1891094987664
"153",0.1,250,3.58884654049971e-05,10.2350946120082
"154",0.15,0,0.476989793742656,0.74026018508863
"155",0.15,5,0.0804283731674188,2.52038826495953
"156",0.15,10,0.030365019470548,3.49446400841601
"157",0.15,15,0.016288085578368,4.11732138455317
"158",0.15,20,0.0100998585994463,4.59523385528775
"159",0.15,25,0.0068069863442278,4.98980579065499
"160",0.15,30,0.00482868746593235,5.33318059443112
"161",0.15,35,0.00359539090772062,5.62810255721964
"162",0.15,40,0.00279634478090936,5.87944215001355
"163",0.15,45,0.00222149600856932,6.10957443231767
"164",0.15,50,0.00180962309089197,6.31463669246501
"165",0.15,55,0.00149507124704817,6.50558141638663
"166",0.15,60,0.00125335187711452,6.6819338147878
"167",0.15,65,0.00106398744494815,6.84573168799306
"168",0.15,70,0.000909667043706662,7.00243191144264
"169",0.15,75,0.000788701804429819,7.14512224970975
"170",0.15,80,0.00068356971165518,7.2881819148209
"171",0.15,85,0.000598492937783334,7.42109583289663
"172",0.15,90,0.000525238246633134,7.55165859519941
"173",0.15,95,0.000464650072684698,7.67422596753202
"174",0.15,100,0.000415672872837878,7.78561197041935
"175",0.15,105,0.000375984452272352,7.88596276576882
"176",0.15,110,0.000334184945506532,8.00381598917747
"177",0.15,115,0.000299774240441741,8.11248089846317
"178",0.15,120,0.000267474621577243,8.22648586873734
"179",0.15,125,0.000241508261313628,8.32860687711874
"180",0.15,130,0.0002197640734506,8.42295598044351
"181",0.15,135,0.000197808776967543,8.52820976682006
"182",0.15,140,0.000181131195985221,8.61628894957052
"183",0.15,145,0.000163398071902752,8.71932117546875
"184",0.15,150,0.0001500982288409,8.80422061925524
"185",0.15,155,0.000136587277159018,8.89854675455758
"186",0.15,160,0.00012560962891749,8.98233164351285
"187",0.15,165,0.000112098677235609,9.09613102781654
"188",0.15,170,0.000102809897954315,9.18262892597589
"189",0.15,175,9.20433583328161e-05,9.29325080570944
"190",0.15,180,8.2332361811464e-05,9.40474630993479
"191",0.15,185,7.59991032105821e-05,9.48478901760832
"192",0.15,190,7.09324963298766e-05,9.55378188909527
"193",0.15,195,6.628810668923e-05,9.62150006315023
"194",0.15,200,6.22770429086715e-05,9.68391769271866
"195",0.15,205,5.88993049882011e-05,9.73968126723711
"196",0.15,210,5.42549153475545e-05,9.82181696416326
"197",0.15,215,5.23549377672899e-05,9.8574643028935
"198",0.15,220,4.79216567466726e-05,9.94594303157708
"199",0.15,225,4.60216791664081e-05,9.98639798626939
"200",0.15,230,4.26439412459377e-05,10.0626253516573
"201",0.15,235,4.1166180905732e-05,10.0978934904947
"202",0.15,240,3.88439860854086e-05,10.1559572914495
"203",0.15,245,3.75773343652323e-05,10.1891094987664
"204",0.15,250,3.58884654049971e-05,10.2350946120082
"205",0.2,0,0.476989793742656,0.74026018508863
"206",0.2,5,0.0804283731674188,2.52038826495953
"207",0.2,10,0.030365019470548,3.49446400841601
"208",0.2,15,0.016288085578368,4.11732138455317
"209",0.2,20,0.0100998585994463,4.59523385528775
"210",0.2,25,0.0068069863442278,4.98980579065499
"211",0.2,30,0.00482868746593235,5.33318059443112
"212",0.2,35,0.00359539090772062,5.62810255721964
"213",0.2,40,0.00279634478090936,5.87944215001355
"214",0.2,45,0.00222149600856932,6.10957443231767
"215",0.2,50,0.00180962309089197,6.31463669246501
"216",0.2,55,0.00149507124704817,6.50558141638663
"217",0.2,60,0.00125335187711452,6.6819338147878
"218",0.2,65,0.00106398744494815,6.84573168799306
"219",0.2,70,0.000909667043706662,7.00243191144264
"220",0.2,75,0.000788701804429819,7.14512224970975
"221",0.2,80,0.00068356971165518,7.2881819148209
"222",0.2,85,0.000598492937783334,7.42109583289663
"223",0.2,90,0.000525238246633134,7.55165859519941
"224",0.2,95,0.000464650072684698,7.67422596753202
"225",0.2,100,0.000415672872837878,7.78561197041935
"226",0.2,105,0.000375984452272352,7.88596276576882
"227",0.2,110,0.000334184945506532,8.00381598917747
"228",0.2,115,0.000299774240441741,8.11248089846317
"229",0.2,120,0.000267474621577243,8.22648586873734
"230",0.2,125,0.000241508261313628,8.32860687711874
"231",0.2,130,0.0002197640734506,8.42295598044351
"232",0.2,135,0.000197808776967543,8.52820976682006
"233",0.2,140,0.000181131195985221,8.61628894957052
"234",0.2,145,0.000163398071902752,8.71932117546875
"235",0.2,150,0.0001500982288409,8.80422061925524
"236",0.2,155,0.000136587277159018,8.89854675455758
"237",0.2,160,0.00012560962891749,8.98233164351285
"238",0.2,165,0.000112098677235609,9.09613102781654
"239",0.2,170,0.000102809897954315,9.18262892597589
"240",0.2,175,9.20433583328161e-05,9.29325080570944
"241",0.2,180,8.2332361811464e-05,9.40474630993479
"242",0.2,185,7.59991032105821e-05,9.48478901760832
"243",0.2,190,7.09324963298766e-05,9.55378188909527
"244",0.2,195,6.628810668923e-05,9.62150006315023
"245",0.2,200,6.22770429086715e-05,9.68391769271866
"246",0.2,205,5.88993049882011e-05,9.73968126723711
"247",0.2,210,5.42549153475545e-05,9.82181696416326
"248",0.2,215,5.23549377672899e-05,9.8574643028935
"249",0.2,220,4.79216567466726e-05,9.94594303157708
"250",0.2,225,4.60216791664081e-05,9.98639798626939
"251",0.2,230,4.26439412459377e-05,10.0626253516573
"252",0.2,235,4.1166180905732e-05,10.0978934904947
"253",0.2,240,3.88439860854086e-05,10.1559572914495
"254",0.2,245,3.75773343652323e-05,10.1891094987664
"255",0.2,250,3.58884654049971e-05,10.2350946120082
"256",0.25,0,0.476989793742656,0.74026018508863
"257",0.25,5,0.0804283731674188,2.52038826495953
"258",0.25,10,0.030365019470548,3.49446400841601
"259",0.25,15,0.016288085578368,4.11732138455317
"260",0.25,20,0.0100998585994463,4.59523385528775
"261",0.25,25,0.0068069863442278,4.98980579065499
"262",0.25,30,0.00482868746593235,5.33318059443112
"263",0.25,35,0.00359539090772062,5.62810255721964
"264",0.25,40,0.00279634478090936,5.87944215001355
"265",0.25,45,0.00222149600856932,6.10957443231767
"266",0.25,50,0.00180962309089197,6.31463669246501
"267",0.25,55,0.00149507124704817,6.50558141638663
"268",0.25,60,0.00125335187711452,6.6819338147878
"269",0.25,65,0.00106398744494815,6.84573168799306
"270",0.25,70,0.000909667043706662,7.00243191144264
"271",0.25,75,0.000788701804429819,7.14512224970975
"272",0.25,80,0.00068356971165518,7.2881819148209
"273",0.25,85,0.000598492937783334,7.42109583289663
"274",0.25,90,0.000525238246633134,7.55165859519941
"275",0.25,95,0.000464650072684698,7.67422596753202
"276",0.25,100,0.000415672872837878,7.78561197041935
"277",0.25,105,0.000375984452272352,7.88596276576882
"278",0.25,110,0.000334184945506532,8.00381598917747
"279",0.25,115,0.000299774240441741,8.11248089846317
"280",0.25,120,0.000267474621577243,8.22648586873734
"281",0.25,125,0.000241508261313628,8.32860687711874
"282",0.25,130,0.0002197640734506,8.42295598044351
"283",0.25,135,0.000197808776967543,8.52820976682006
"284",0.25,140,0.000181131195985221,8.61628894957052
"285",0.25,145,0.000163398071902752,8.71932117546875
"286",0.25,150,0.0001500982288409,8.80422061925524
"287",0.25,155,0.000136587277159018,8.89854675455758
"288",0.25,160,0.00012560962891749,8.98233164351285
"289",0.25,165,0.000112098677235609,9.09613102781654
"290",0.25,170,0.000102809897954315,9.18262892597589
"291",0.25,175,9.20433583328161e-05,9.29325080570944
"292",0.25,180,8.2332361811464e-05,9.40474630993479
"293",0.25,185,7.59991032105821e-05,9.48478901760832
"294",0.25,190,7.09324963298766e-05,9.55378188909527
"295",0.25,195,6.628810668923e-05,9.62150006315023
"296",0.25,200,6.22770429086715e-05,9.68391769271866
"297",0.25,205,5.88993049882011e-05,9.73968126723711
"298",0.25,210,5.42549153475545e-05,9.82181696416326
"299",0.25,215,5.23549377672899e-05,9.8574643028935
"300",0.25,220,4.79216567466726e-05,9.94594303157708
"301",0.25,225,4.60216791664081e-05,9.98639798626939
"302",0.25,230,4.26439412459377e-05,10.0626253516573
"303",0.25,235,4.1166180905732e-05,10.0978934904947
"304",0.25,240,3.88439860854086e-05,10.1559572914495
"305",0.25,245,3.75773343652323e-05,10.1891094987664
"306",0.25,250,3.58884654049971e-05,10.2350946120082
"307",0.3,0,0.476989793742656,0.74026018508863
"308",0.3,5,0.0804283731674188,2.52038826495953
"309",0.3,10,0.030365019470548,3.49446400841601
"310",0.3,15,0.016288085578368,4.11732138455317
"311",0.3,20,0.0100998585994463,4.59523385528775
"312",0.3,25,0.0068069863442278,4.98980579065499
"313",0.3,30,0.00482868746593235,5.33318059443112
"314",0.3,35,0.00359539090772062,5.62810255721964
"315",0.3,40,0.00279634478090936,5.87944215001355
"316",0.3,45,0.00222149600856932,6.10957443231767
"317",0.3,50,0.00180962309089197,6.31463669246501
"318",0.3,55,0.00149507124704817,6.50558141638663
"319",0.3,60,0.00125335187711452,6.6819338147878
"320",0.3,65,0.00106398744494815,6.84573168799306
"321",0.3,70,0.000909667043706662,7.00243191144264
"322",0.3,75,0.000788701804429819,7.14512224970975
"323",0.3,80,0.00068356971165518,7.2881819148209
"324",0.3,85,0.000598492937783334,7.42109583289663
"325",0.3,90,0.000525238246633134,7.55165859519941
"326",0.3,95,0.000464650072684698,7.67422596753202
"327",0.3,100,0.000415672872837878,7.78561197041935
"328",0.3,105,0.000375984452272352,7.88596276576882
"329",0.3,110,0.000334184945506532,8.00381598917747
"330",0.3,115,0.000299774240441741,8.11248089846317
"331",0.3,120,0.000267474621577243,8.22648586873734
"332",0.3,125,0.000241508261313628,8.32860687711874
"333",0.3,130,0.0002197640734506,8.42295598044351
"334",0.3,135,0.000197808776967543,8.52820976682006
"335",0.3,140,0.000181131195985221,8.61628894957052
"336",0.3,145,0.000163398071902752,8.71932117546875
"337",0.3,150,0.0001500982288409,8.80422061925524
"338",0.3,155,0.000136587277159018,8.89854675455758
"339",0.3,160,0.00012560962891749,8.98233164351285
"340",0.3,165,0.000112098677235609,9.09613102781654
"341",0.3,170,0.000102809897954315,9.18262892597589
"342",0.3,175,9.20433583328161e-05,9.29325080570944
"343",0.3,180,8.2332361811464e-05,9.40474630993479
"344",0.3,185,7.59991032105821e-05,9.48478901760832
